,Pipeline
BERT Score - Precision,0.6471053957939148
BERT Score - Recall,0.7280522584915161
BERT Score - F1,0.6843860149383545
ROUGE-L - Precision,0.12673125224390477
ROUGE-L - Recall,0.3568096814029487
ROUGE-L - F1,0.1755112049147405
BLEU Score,3.740195412874873
